OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31199,2024-019J,2024-11-28T02:48:41.972544,15.25905105,.0001366,43.0007,0.6461,142.1328,217.9619,0,U,58861,999,4776,-.2409E-4,-.887E-5,0
STARLINK-31200,2024-019K,2024-11-29T01:59:48.241536,15.25902594,.0001004,43.0030,355.0120,266.2341,93.8395,0,U,58862,999,4791,.67836E-4,.1517E-4,0
STARLINK-31149,2024-019L,2024-11-29T03:17:59.391744,15.25902879,.0001596,42.9997,355.4306,275.7902,84.2767,0,U,58863,999,4791,.26169E-4,.427E-5,0
STARLINK-31242,2024-019M,2024-11-29T02:35:37.342176,15.25919806,.0005441,43.0064,355.1827,295.8493,64.1797,0,U,58864,999,4791,.45087E-3,.11561E-3,0
STARLINK-31223,2024-019N,2024-11-28T10:10:39.960768,15.25912308,.0000413,42.9997,358.6788,259.4308,100.6497,0,U,58865,999,4779,.28763E-3,.7275E-4,0
STARLINK-31219,2024-019P,2024-11-28T01:53:32.498304,15.25902836,.000093,43.0022,1.2384,269.9579,90.1165,0,U,58866,999,4773,-.4102E-4,-.133E-4,0
STARLINK-31198,2024-019Q,2024-11-29T02:16:05.943936,15.25898502,.0000621,42.9976,355.0675,157.7556,202.3322,0,U,58867,999,4765,.14676E-4,.127E-5,0
STARLINK-31196,2024-019R,2024-11-29T02:19:21.213120,15.25910294,.0001535,42.9996,355.0989,291.6255,68.4432,0,U,58868,999,4767,-.92989E-4,-.2689E-4,0
STARLINK-31203,2024-019S,2024-11-29T02:43:41.507904,15.25924516,.0001875,42.9998,350.0604,166.7180,193.3720,0,U,58869,999,4797,.36454E-3,.9294E-4,0
STARLINK-31201,2024-019T,2024-11-28T08:20:21.618816,15.25913725,.0003664,42.9993,359.8179,269.1259,90.9172,0,U,58870,999,4777,.59809E-3,.15423E-3,0
